P1,P2,C1_p1_to_p1,C1_p1_to_p2,C1_p2_to_p1,C1_p2_to_p2,P1_net,P2_net,C1_net_p1_to_p1,C1_net_p1_to_p2,C1_net_p2_to_p1,C1_net_p2_to_p2
0.9,0,0,0.07,0.03,0,0.004958967,0.00104969,0,-0.00104969,-0.004958967,0
0.90007961,1.69E-05,0,0.069983148,0.02992039,0,0.004968596,0.001050499,0,-0.001049608,-0.004969488,0
0.9,0,0,0.07,0.03,0,0.004958967,0.00104969,0,-0.00104969,-0.004958967,0
0.900065273,1.38E-05,0,0.069986183,0.029934727,0,0.004966863,0.001050354,0,-0.001049623,-0.004967594,0
0.900139349,2.95E-05,0,0.069970555,0.029860629,0,0.004975818,0.001051104,0,-0.001049544,-0.004977377,0
0.900209202,4.42E-05,0,0.069955834,0.029790749,0,0.004984251,0.001051812,0,-0.00104947,-0.004986593,0
0.900512299,0.000108036,0,0.069892258,0.029487408,0,0.005020737,0.001054872,0,-0.001049135,-0.005026475,0
0.900611545,0.000128873,0,0.069871545,0.029388037,0,0.005032643,0.001055871,0,-0.001049021,-0.005039493,0
0.900202846,4.29E-05,0,0.069957173,0.029797107,0,0.004983485,0.001051747,0,-0.001049477,-0.004985755,0
0.901249606,0.00026214,0,0.06973959,0.028748664,0,0.005108637,0.001062254,0,-0.001048243,-0.005122648,0
0.901194236,0.000250622,0,0.069750959,0.028804183,0,0.005102083,0.001061702,0,-0.001048314,-0.005115472,0
0.901203905,0.000252634,0,0.069748972,0.028794489,0,0.005103228,0.001061799,0,-0.001048301,-0.005116726,0
0.901245572,0.000261301,0,0.069740418,0.02875271,0,0.00510816,0.001062214,0,-0.001048248,-0.005122125,0
0.901326332,0.000278085,0,0.069723861,0.028671722,0,0.005117705,0.001063017,0,-0.001048144,-0.005132578,0
0.901326332,0.000278085,0,0.069723861,0.028671722,0,0.005117705,0.001063017,0,-0.001048144,-0.005132578,0
0.901326331,0.000278085,0,0.069723861,0.028671723,0,0.005117705,0.001063017,0,-0.001048144,-0.005132578,0
0.90183751,0.000384264,0,0.069619168,0.028159058,0,0.005177627,0.001068109,0,-0.001047467,-0.005198269,0
0.902429375,0.000505534,0,0.069500887,0.027564205,0,0.005246058,0.001073889,0,-0.001046597,-0.005273349,0
0.902991246,0.000620129,0,0.06938954,0.026999085,0,0.005309742,0.001079355,0,-0.00104572,-0.005343377,0
0.90549517,0.001121863,0,0.068909742,0.024473224,0,0.005573978,0.001103198,0,-0.001041111,-0.005636065,0
0.906335334,0.001287738,0,0.068753893,0.023623034,0,0.005653252,0.001111044,0,-0.001039309,-0.005724987,0
0.902939856,0.000609687,0,0.06939966,0.027050798,0,0.005303972,0.001078857,0,-0.001045803,-0.005337026,0
0.911928493,0.002372817,0,0.067768206,0.017930484,0,0.005976795,0.001161835,0,-0.001024068,-0.006114563,0
0.91143393,0.002277379,0,0.067852553,0.018436137,0,0.005967361,0.001157409,0,-0.00102565,-0.00609912,0
0.911520247,0.002294027,0,0.067837807,0.018347918,0,0.005969345,0.001158182,0,-0.001025377,-0.006102149,0
0.91189244,0.002365855,0,0.067774344,0.017967361,0,0.005976268,0.001161513,0,-0.001024185,-0.006113596,0
0.912617599,0.002505464,0,0.067651725,0.017225212,0,0.005981774,0.001167972,0,-0.00102179,-0.006127957,0
0.912616464,0.002505464,0,0.067651725,0.017226347,0,0.005981761,0.001167972,0,-0.00102179,-0.006127943,0
0.912601084,0.002505461,0,0.067651727,0.017241728,0,0.005981575,0.001167972,0,-0.00102179,-0.006127757,0
0.913798358,0.002739243,0,0.067447205,0.016015194,0,0.005965315,0.001178819,0,-0.001017617,-0.006126516,0
0.915145383,0.003008639,0,0.067217736,0.014628241,0,0.00590278,0.001191095,0,-0.001012325,-0.00608155,0
0.916390805,0.003263929,0,0.067002438,0.013342828,0,0.005796204,0.001202716,0,-0.001007016,-0.005991905,0
0.921346244,0.00439535,0,0.06608666,0.008171746,0,0.004730829,0.001253284,0,-0.000979411,-0.005004702,0
0.922655731,0.004774097,0,0.06579426,0.006775912,0,0.004211208,0.001269822,0,-0.000968675,-0.004512355,0
0.916283506,0.003240615,0,0.067021972,0.013453907,0,0.005807511,0.001201658,0,-0.001007515,-0.006001654,0
0.92613903,0.007304426,0,0.064021219,0.002535325,0,0.001681173,0.001374296,0,-0.000877914,-0.002177554,0
0.926380307,0.007078474,0,0.064166755,0.002374464,0,0.001581076,0.001365444,0,-0.000887349,-0.002059172,0
0.926343356,0.007117846,0,0.064141216,0.002397583,0,0.001595068,0.001366994,0,-0.000885724,-0.002076339,0
0.926157278,0.007287923,0,0.064031764,0.002523036,0,0.001673557,0.001373653,0,-0.000878612,-0.002168598,0
0.925178211,0.007619484,0,0.063822524,0.003379781,0,0.002237299,0.001386461,0,-0.000864331,-0.00275943,0
0.925480369,0.007619476,0,0.063822511,0.003077644,0,0.002036586,0.001386462,0,-0.000864332,-0.002558716,0
0.927439649,0.007619357,0,0.063822323,0.00111867,0,0.000523923,0.001386474,0,-0.000864347,-0.001046049,0
0.92751449,0.007817412,0,0.063698853,0.000969245,0,0.000376003,0.001394081,0,-0.000855597,-0.000914486,0
0.927551165,0.008043929,0,0.063562017,0.000842889,0,0.000244041,0.001402554,0,-0.000845274,-0.000801321,0
0.927583047,0.008258021,0,0.063434138,0.000724794,0,0.000118757,0.001410514,0,-0.00083532,-0.00069395,0
0.927510128,0.009196654,0,0.062899779,0.000393439,0,-0.00027085,0.001444201,0,-0.00078909,-0.000384261,0
0.927452881,0.009507239,0,0.062732434,0.000307446,0,-0.000380185,0.001454893,0,-0.000772882,-0.000301827,0
0.927578681,0.008238506,0,0.063445703,0.00073711,0,0.000131665,0.001409792,0,-0.000836237,-0.00070522,0
0.92682592,0.011538638,0,0.061754019,-0.000118578,0,-0.000981884,0.001518796,0,-0.000656337,0.000119425,0
0.926830327,0.011360174,0,0.061831891,-2.24E-05,0,-0.000868769,0.001513623,0,-0.000667275,2.24E-05,0
0.926828062,0.01139131,0,0.061818192,-3.76E-05,0,-0.000886804,0.001514532,0,-0.000665376,3.76E-05,0
0.926825513,0.011525622,0,0.061759646,-0.000110781,0,-0.000972803,0.001518422,0,-0.000657139,0.00011152,0
0.926944577,0.011786558,0,0.061648456,-0.000379592,0,-0.001273241,0.001525833,0,-0.000640929,0.000388336,0
0.92691474,0.011786556,0,0.061648447,-0.000349743,0,-0.001242065,0.001525834,0,-0.000640929,0.00035716,0
0.926499128,0.011786533,0,0.061648317,6.60E-05,0,-0.000819147,0.001525843,0,-0.000640935,-6.58E-05,0
0.926369475,0.01202804,0,0.061546871,5.56E-05,0,-0.000851467,0.001532632,0,-0.000625737,-5.54E-05,0
0.926211187,0.012303686,0,0.061437574,4.76E-05,0,-0.000884529,0.001539977,0,-0.000608029,-4.74E-05,0
0.926059831,0.012563965,0,0.061336495,3.97E-05,0,-0.000916097,0.001546795,0,-0.000591085,-3.96E-05,0
0.925345001,0.013701145,0,0.060933512,2.03E-05,0,-0.001039685,0.00157424,0,-0.000514237,-2.03E-05,0
0.925094944,0.014075852,0,0.060814506,1.47E-05,0,-0.001079764,0.001582424,0,-0.000487975,-1.47E-05,0
0.926073513,0.012540251,0,0.061345568,4.07E-05,0,-0.000912975,0.001546182,0,-0.000592639,-4.06E-05,0
0.923314305,0.016504466,0,0.06020973,-2.85E-05,0,-0.001344847,0.001624581,0,-0.000308285,2.85E-05,0
0.923470731,0.016292782,0,0.060250939,-1.45E-05,0,-0.001311632,0.001621679,0,-0.000324511,1.45E-05,0
